character_id,character,slot,source_status,source_move_id,source_command,hit_level,startup,active,recovery,damage,range,hitstun,blockstun,pushback,whiff_recovery,launches
0,kazuya,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
0,kazuya,df1,frame_data,dfp1,df+1,mid,15,3,18,11.0,0.95,27,11,0.11,0,0
0,kazuya,f2,frame_data,fp2,f+2,mid,20,3,26,23.0,1.25,39,14,0.16,4,0
0,kazuya,db3,frame_data,dbp3,db+3,low,19,3,24,14.0,0.9,23,12,0.06,0,0
0,kazuya,hopkick,frame_data,ufp4,uf+4,mid,25,4,30,16.0,0.88,29,18,0.18,4,1
0,kazuya,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,26,16,0.22,0,0
1,jin,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
1,jin,df1,frame_data,dfp1,df+1,mid,13,3,18,10.0,0.95,22,15,0.11,0,0
1,jin,f2,frame_data,h_2p3,H.2+3,mid,15,3,22,45.0,1.25,22,14,0.16,4,0
1,jin,db3,frame_data,dbp3,db+3,high,19,3,24,28.0,0.9,41,14,0.06,0,0
1,jin,hopkick,frame_data,ufp4,uf+4,mid,15,4,30,13.0,0.88,63,17,0.18,4,1
1,jin,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,26,16,0.22,0,0
2,king,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
2,king,df1,frame_data,dfp1,df+1,mid,14,3,18,15.0,0.95,21,17,0.11,0,0
2,king,f2,frame_data,fp2,f+2,mid,15,3,22,12.0,1.25,24,11,0.16,4,0
2,king,db3,frame_data,dbp3,db+3,low,23,3,24,17.0,0.9,28,10,0.06,0,0
2,king,hopkick,frame_data,ufp4,uf+4,mid,15,4,30,13.0,0.88,63,17,0.18,4,1
2,king,throw,frame_data,qcbp1p2,qcb+1+2,throw,11,2,24,45.0,0.48,18,18,0.22,0,0
3,jun,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
3,jun,df1,frame_data,dfp1,df+1,mid,13,3,18,10.0,0.95,26,15,0.11,0,0
3,jun,f2,frame_data,fp2,f+2,mid,17,3,22,20.0,1.25,55,4,0.16,4,0
3,jun,db3,frame_data,dbp3,db+3,low,18,3,24,14.0,0.9,26,12,0.06,0,0
3,jun,hopkick,frame_data,ufp4,uf+4,mid,16,4,30,10.0,0.88,21,10,0.18,4,1
3,jun,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,24,16,0.22,0,0
4,paul,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
4,paul,df1,frame_data,dfp1,df+1,mid,14,3,18,11.0,0.95,22,16,0.11,0,0
4,paul,f2,frame_data,fp2,f+2,high,13,3,22,34.0,1.25,31,17,0.16,4,0
4,paul,db3,frame_data,dbp3,db+3,low,15,3,24,12.0,0.9,20,6,0.06,0,0
4,paul,hopkick,frame_data,ufp4,uf+4,mid,15,4,30,13.0,0.88,63,17,0.18,4,1
4,paul,throw,frame_data,bp1p4,b+1+4,throw,11,2,24,40.0,0.48,30,22,0.22,0,0
5,law,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
5,law,df1,frame_data,dfp1,df+1,mid,13,3,18,10.0,0.95,23,17,0.11,0,0
5,law,f2,frame_data,fp2,f+2,high,12,3,22,10.0,1.25,28,14,0.16,4,0
5,law,db3,frame_data,dbp3,db+3,low,17,3,24,15.0,0.9,27,11,0.06,0,0
5,law,hopkick,frame_data,ufp4,UF+4,mid,18,4,30,23.0,0.88,58,13,0.18,4,1
5,law,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,24,21,0.22,0,0
6,jack-8,jab,frame_data,1,1,high,12,2,13,10.0,0.82,19,11,0.08,0,0
6,jack-8,df1,frame_data,dfp1,df+1,mid,14,3,18,12.0,0.95,21,14,0.11,0,0
6,jack-8,f2,frame_data,fp2,f+2,high,10,3,22,22.0,1.25,27,10,0.16,4,0
6,jack-8,db3,frame_data,dbp3,db+3,low,21,3,24,15.0,0.9,15,4,0.06,0,0
6,jack-8,hopkick,abstract_fallback,,,mid,15,4,30,21.0,0.88,36,22,0.18,4,1
6,jack-8,throw,frame_data,h_2p3,H.2+3,high,10,2,24,45.0,0.48,22,15,0.22,0,0
7,lars,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
7,lars,df1,frame_data,dfp1,df+1,mid,13,3,18,12.0,0.95,23,15,0.11,0,0
7,lars,f2,frame_data,fp2,f+2,high,12,3,22,10.0,1.25,25,16,0.16,4,0
7,lars,db3,frame_data,1_4,"1,4",high,10,3,24,15.0,0.9,25,12,0.06,0,0
7,lars,hopkick,frame_data,ufp4,uf+4,mid,25,4,30,20.0,0.88,72,22,0.18,4,1
7,lars,throw,frame_data,1p3,1+3,throw,12,2,24,35.0,0.48,25,21,0.22,0,0
8,xiaoyu,jab,frame_data,1,1,high,10,2,13,5.0,0.82,21,5,0.08,0,0
8,xiaoyu,df1,frame_data,dfp1,df+1,mid,14,3,18,13.0,0.95,27,16,0.11,0,0
