stable_id,character,name,command,parser_status,source_consistency,reactive,hit_levels,damages,startup,recovery,block_advantage,hit_advantage,hit_effect,counter_hit_advantage,counter_hit_effect,frame_data_variable,homing,tornado,wall_break,floor_break,balcony_break,heat_engager,requires_heat,requires_rage,rage_art,posture,stances,situations,result_stance,automatic_transition,low_crush,high_crush,power_crush,parry,airborne,invincible,heat_burst,heat_smash,heat_dash_block,heat_dash_hit,heat_dash_effect,chip_block,chip_block_heat,recoverable_only,removes_recoverable,armor_damage_recoverable,self_damage,self_recoverable,self_damage_without_heat,restore_health_hit,restore_recoverable_hit,restore_recoverable_block,throw_break,side_switch_on_hit,side_switch_on_break,spike,unparryable,reversal_break,variant_of,result_crouching,result_stance_on_hit,result_stance_on_block,requires_sidestep,requires_running,parry_levels,parry_outcomes,heat_cost_frames,resource_gain_start,resource_gain_hit,resource_gain_airborne_hit,resource_gain_block,resource_gain_heat_activation,install_damage_bonus,install_chip,install_range,attack_throw,attack_throw_front_only,attack_throw_standing_only,attack_throw_airborne,attack_throw_damage,back_turned_hit_advantage,back_turned_hit_effect,result_back_turned,heat_parry,heat_parry_levels,heat_parry_outcome,recoverable_damage,cannot_ko,rage_art_max_damage,ki_charge,practice_status,measured_active_frames,measured_range,measured_tracking_left,measured_tracking_right,measured_pushback,measured_travel,measured_hit_frames
kazuya:1,kazuya,Heat Burst,2+3,parsed,valid,0,mid,12.0,16,30,1,2,stun,,,0,0,0,0,0,0,0,0,0,0,standing,,,,,,,7~16,,,,1,0,,,,2,,1,0,0,,,0,,,,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,0,0,0,,,,0,,,,,1,,0,pending,,,,,,,
kazuya:2,kazuya,Omega Crash,H.2+3,parsed,valid,0,low|mid|th,9.0|14.0|20.0|17.0|34.0,18,35,-14,0,knockdown,,,0,0,0,0,0,1,0,1,0,0,standing,,,,,,,,,,,0,1,,,,8,,0,0,0,,,0,,,,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,0,0,0,,,,0,,,,,0,,0,pending,,,,,,,
kazuya:3,kazuya,Demonic Catastrophe,R.df+1+2,parsed,valid,0,mid|throw,55.0,20,39,-18,0,knockdown,,,0,0,0,0,0,0,0,0,1,1,standing,,,,,,,8~999,,,,0,0,,,,,,0,1,0,,,0,,?,,,0,0,0,0,1,,0,,,0,0,,,,,,,,,,,,hit,0,0,1,,,,0,,,,,0,82,0,pending,,,,,,,
kazuya:4,kazuya,Jab,1,parsed,valid,0,high,5.0,10,19,1,8,stun,,,0,0,0,0,0,0,0,0,0,0,standing,,,,,,,,,,,0,0,,,,,,0,0,0,,,0,,,,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,0,0,0,,,,0,,,,,0,,0,pending,,,,,,,
kazuya:5,kazuya,,"1,1",parsed,valid,0,high|high,5.0|6.0,10,34,-1,6,stun,,,0,0,0,0,0,0,0,0,0,0,standing,,,,,,,,,,,0,0,,,,,,0,0,0,,,0,,,,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,0,0,0,,,,0,,,,,0,,0,pending,,,,,,,
kazuya:6,kazuya,Flash Punch Combo,"1,1,2",parsed,valid,0,high|high|mid,5.0|6.0|14.0,10,36,-17,20,launch,,,0,0,0,0,0,1,0,0,0,0,standing,,,,,,,,,,,0,0,,,,,,0,0,0,,,0,,,,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,0,0,0,,,,0,,,,,0,,0,pending,,,,,,,
kazuya:7,kazuya,Devil Inferno,"DVK.1,1,2,D",parsed,valid,0,high|high|mid|throw,5.0|6.0|14.0|8.0,10,,,0,knockdown,,,0,0,0,0,0,0,0,0,0,0,standing,DVK,,,,,,,,,,0,0,,,,,,0,0,0,,,0,,,,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,0,0,0,,,,0,,,,,0,,0,pending,,,,,,,
kazuya:8,kazuya,Devil Break,"DVK.1,1,2,F",parsed,valid,0,high|high|mid|throw,5.0|6.0|14.0|8.0,10,10,,5,knockdown,,,0,0,0,0,0,0,0,0,0,0,standing,DVK,,,,,,,,,,0,0,,,,,,0,0,0,,,0,,,,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,0,0,0,,,,1,,,,,0,,0,pending,,,,,,,
kazuya:9,kazuya,One Two Strike,"1,2",parsed,valid,0,high|high,5.0|8.0,10,32,-3,8,stun,,,0,0,0,0,0,0,0,0,0,0,standing,,,,,,,,,,,0,0,,,,,,0,0,0,,,0,,,,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,0,0,0,,,,0,,,,,0,,0,pending,,,,,,,
kazuya:10,kazuya,Back Fist Combo,"1,2,2",parsed,valid,0,high|high|high,5.0|8.0|12.0,10,31,-12,4,stun,,,0,0,0,0,0,0,0,0,0,0,standing,,,,,,,,,,,0,0,,,,,,0,0,0,,,0,,,,,0,0,0,0,0,,0,,,0,0,,,,,,,,,,,,,0,0,0,,,,0,,,,,0,,0,pending,,,,,,,
