character,route,category,source,distance,near_wall,opponent,opponent_move,heat,resource,step,input,delay,expected_hits,counter_hit_starter,heat_activated
jun,df2_beginner,midscreen,guide,0.8,0,walk,,0,0,0,jun:43,0,9,0,0
jun,df2_beginner,midscreen,guide,0.8,0,walk,,0,0,1,jun:20,0,9,0,0
jun,df2_beginner,midscreen,guide,0.8,0,walk,,0,0,2,jun:7,0,9,0,0
jun,df2_beginner,midscreen,guide,0.8,0,walk,,0,0,3,jun:124,0,9,0,0
jun,df2_beginner,midscreen,guide,0.8,0,walk,,0,0,4,jun:30,0,9,0,0
jun,df2_beginner,midscreen,guide,0.8,0,walk,,0,0,5,jun:124,0,9,0,0
jun,df2_wall_tornado,wall,derived,0.8,1,crouch,,0,0,0,jun:43,0,6,0,0
jun,df2_wall_tornado,wall,derived,0.8,1,crouch,,0,0,1,jun:53,0,6,0,0
jun,df2_wall_tornado,wall,derived,0.8,1,crouch,,0,0,2,jun:86,0,6,0,0
jun,df2_wall_tornado,wall,derived,0.8,1,crouch,,0,0,3,jun:133,0,6,0,0
jun,ch_u2_izu41,counter_hit,guide,0.8,0,attack,jun:47,0,0,0,jun:80,0,3,1,0
jun,ch_u2_izu41,counter_hit,guide,0.8,0,attack,jun:47,0,0,1,jun:129,0,3,1,0
jun,ch_u2_izu3_heat_dash,heat,derived,0.8,0,attack,jun:47,0,0,0,jun:80,0,6,1,1
jun,ch_u2_izu3_heat_dash,heat,derived,0.8,0,attack,jun:47,0,0,1,jun:127,0,6,1,1
jun,ch_u2_izu3_heat_dash,heat,derived,0.8,0,attack,jun:47,0,0,2,@HeatDash,0,6,1,1
jun,ch_u2_izu3_heat_dash,heat,derived,0.8,0,attack,jun:47,0,0,3,jun:20,0,6,1,1
jun,ch_u2_izu3_heat_dash,heat,derived,0.8,0,attack,jun:47,0,0,4,jun:7,0,6,1,1
